Itemset,Frequency
"beef, carrots",63
"beef, garlic",131
"beef, leaf",25
"beef, onions",77
"beef, parsley",78
"beef, peppercorns",4
"beef, salt",286
"beef, wine",24
"carrots, garlic",151
"carrots, leaf",89
"carrots, onions",162
"carrots, parsley",135
"carrots, peppercorns",13
"carrots, salt",384
"carrots, wine",77
"garlic, leaf",58
"garlic, onions",213
"garlic, parsley",286
"garlic, peppercorns",18
"garlic, salt",742
"garlic, wine",149
"leaf, onions",42
"leaf, parsley",62
"leaf, peppercorns",15
"leaf, salt",140
"leaf, wine",37
"onions, parsley",116
"onions, peppercorns",13
"onions, salt",410
"onions, wine",90
"parsley, peppercorns",10
"parsley, salt",558
"parsley, wine",151
"peppercorns, salt",56
"peppercorns, wine",9
"salt, wine",224
"onion, paprika",314
"onion, pepper",3087
"onion, salt",1890
"onion, sauce",705
"onion, sugar",616
"onion, tenderizer",2
"onion, worcestershire",89
"paprika, pepper",509
"paprika, salt",398
"paprika, sauce",110
"paprika, sugar",107
"paprika, tenderizer",2
"paprika, worcestershire",16
"pepper, salt",2819
"pepper, sauce",925
"pepper, sugar",818
"pepper, tenderizer",2
"pepper, worcestershire",132
"salt, sauce",546
"salt, sugar",994
"salt, tenderizer",1
"salt, worcestershire",101
"sauce, sugar",521
"sauce, tenderizer",2
"sauce, worcestershire",54
"sugar, tenderizer",1
"sugar, worcestershire",47
"tenderizer, worcestershire",2
"beef, butter",76
"beef, carrot",16
"beef, cubes",7
"beef, leaves",37
"beef, oil",203
"beef, onion",408
"beef, pepper",402
"butter, carrot",67
"butter, cubes",92
"butter, leaves",104
"butter, oil",674
"butter, onion",965
"butter, parsley",354
"butter, pepper",1538
"butter, salt",1079
"carrot, cubes",16
"carrot, leaves",36
"carrot, oil",189
"carrot, onion",223
"carrot, parsley",53
"carrot, pepper",222
"carrot, salt",123
"cubes, leaves",52
"cubes, oil",238
"cubes, onion",193
"cubes, parsley",40
"cubes, pepper",260
"cubes, salt",177
"leaves, oil",356
"leaves, onion",313
"leaves, parsley",93
"leaves, pepper",459
"leaves, salt",306
"oil, onion",2073
"oil, parsley",588
"oil, pepper",3069
"oil, salt",2074
"onion, parsley",591
"parsley, pepper",851
"cabbage, carrots",77
"cabbage, potatoes",46
"cabbage, spice",9
"carrots, potatoes",251
"carrots, spice",9
"potatoes, spice",14
"broth, butter",452
"broth, liver",1
"broth, mushrooms",192
"broth, onion",962
"broth, pastry",5
"broth, pepper",1121
"broth, tenderloin",6
"broth, wine",148
"broth, yolk",6
"butter, liver",4
"butter, mushrooms",300
"butter, pastry",10
"butter, tenderloin",8
