Itemset,Frequency
"oil, onion, pepper",1614
"onion, pepper, salt",1518
"oil, pepper, salt",1457
"oil, onion, salt",959
"onion, pepper, water",851
"cheese, onion, pepper",840
"cloves, oil, pepper",802
"cheese, oil, pepper",767
"butter, onion, pepper",750
"garlic, oil, pepper",750
"oil, pepper, water",748
"broth, onion, pepper",745
"cheese, pepper, salt",740
"butter, pepper, salt",706
"pepper, salt, water",696
"garlic, onion, pepper",682
"cloves, onion, pepper",657
"oil, onion, water",623
"celery, onion, pepper",612
"onion, pepper, tomatoes",599
