Itemset,Frequency
beef,622
carrots,883
garlic,1732
leaf,257
onions,1086
parsley,1095
peppercorns,84
salt,4174
wine,600
onion,4164
paprika,609
pepper,5985
sauce,1594
sugar,2032
tenderizer,2
worcestershire,173
butter,2484
carrot,312
cubes,403
leaves,611
oil,4517
cabbage,276
potatoes,1093
spice,80
broth,1511
liver,4
mushrooms,788
pastry,28
tenderloin,42
yolk,27
beer,76
cloves,1609
water,2293
cream,985
noodles,343
soup,414
bacon,447
celery,990
guinness,15
paste,279
stock,409
thyme,611
bones,26
oxtail,4
pods,22
radish,14
root,228
stick,25
bouillon,221
cheese,2776
chives,145
cornstarch,399
flour,1403
meat,233
tomatoes,1199
vegetables,84
temperature,68
bread,164
milk,1160
florets,244
matchsticks,31
seeds,300
soy,278
strips,265
steak,56
bouquet,2
brisket,50
mustard,584
rings,99
round,3
spears,23
chunks,339
cumin,703
juice,1313
vinegar,1031
rosemary,133
sherry,98
liquid,83
ribs,93
basil,659
mix,444
cilantro,616
masala,61
tomato,574
turmeric,197
coriander,163
fat,32
flakes,618
yogurt,125
chickpeas,36
drumsticks,18
hanout,3
almonds,107
cinnamon,442
ginger,440
raisins,107
seed,116
cayenne,6
coconut,46
jwala,1
threads,16
egg,607
mincemeat,1
zest,195
allspice,101
nutmeg,276
curry,150
peppers,485
beet,1
greens,40
breast,115
rounds,54
squares,17
eggplant,15
zucchini,262
pot,6
apples,106
chicken,238
honey,287
halves,344
peas,398
poultry,68
marjoram,81
seasoning,401
spinach,442
tops,25
turkey,272
crumbs,560
pasta,601
slices,166
zucchinis,14
avocado,156
caps,14
grill,4
limes,52
eggs,1172
lengthwise,149
eye,3
crumbles,15
sage,182
spray,432
tm,11
broccoli,151
sprouts,80
choy,29
asparagus,57
margarine,81
rice,849
butt,13
half,216
puree,36
shallot,92
size,149
lemon,263
sprinkling,1
tips,25
frying,63
crackers,70
tortillas,165
chili,194
chachere,17
mayonnaise,499
buttermilk,65
giblets,34
thighs,188
ranch,34
redhot,32
ham,126
husks,10
shoulder,60
chops,247
buns,47
cider,35
tenderloins,21
ketchup,188
pork,145
wrappers,46
curd,2
hoisin,16
horseradish,36
loin,59
shallots,112
fillets,160
trout,2
cod,19
bulb,10
filets,4
leek,23
tarragon,71
bay,71
chips,88
salad,68
sriracha,38
sticks,27
fillet,29
sprigs,53
tabasco,44
weed,130
foil,55
fish,16
halibut,5
blend,93
shortening,20
shrimp,492
tails,45
grits,12
pound,10
avocados,69
clamato,2
cucumber,172
heinz,5
valentina,4
back,1
brine,11
skewers,34
capers,46
lime,147
relish,44
marzano,7
champagne,3
lamb,92
mint,92
molasses,12
pomegranate,4
twine,15
shanks,16
cardamom,40
saffron,24
currants,11
figs,5
liqueur,21
prunes,10
thirds,18
wedges,195
nuts,66
provence,27
marinara,38
herb,14
extract,198
whites,49
butternut,52
parsnips,12
ground,27
apple,123
beverage,8
bag,2
savory,17
legs,25
dash,12
skin,71
linguine,13
beans,886
barley,43
carcass,13
crust,72
leftover,4
stalks,22
wings,35
chutney,9
duck,8
jam,13
marmalade,14
marnier,3
blueberries,42
breasts,154
hock,9
okra,28
sausage,433
raspberries,17
berries,39
currant,2
barbecue,10
concentrate,24
duckling,1
soda,174
teriyaki,45
biscuits,7
cornbread,8
toothpicks,15
accent,3
nectar,12
tofu,174
syrup,107
yeast,85
lettuce,108
shells,53
white,27
miso,22
tamari,11
ounce,228
corn,376
shoots,19
cocoa,30
macaroni,100
pimento,6
rolls,35
olives,221
packages,1
store,1
popcorn,1
campbell,6
pure,4
lay,1
swiss,16
ciliegine,1
salami,7
pesto,58
scallops,65
bite,72
elbows,1
v,7
balls,1
piece,4
dill,123
vodka,4
kernels,106
vanilla,61
pats,5
cranberries,71
mangos,16
starch,25
kelp,3
food,25
mahatma,2
cashews,29
potato,147
inch,8
oregano,77
yolks,41
muffin,1
granules,80
ounces,32
gulden,1
beets,21
links,45
chilies,31
bisquick,12
casings,47
grease,10
dough,38
kale,47
lard,5
rotel,33
escarole,5
salsa,40
lentils,221
style,6
pumpkin,27
inches,7
tomatillo,6
chiles,59
ghee,8
stems,22
cauliflower,64
squash,133
bone,19
knorr,15
hominy,14
crabmeat,101
marshmallows,32
topping,29
walnuts,113
quinoa,55
romaine,3
watermelon,11
pineapple,115
dressing,62
cucumbers,65
c,25
cornmeal,43
bananas,69
wheat,8
gum,11
f,5
caraway,1
chocolate,10
baking,25
peanuts,65
meatballs,6
packets,8
peanut,2
spaghetti,210
pounds,12
moons,5
hearts,48
quarters,26
file,9
croutons,15
strip,2
hens,1
fines,2
steaks,48
livers,3
peel,21
lengths,16
sausages,22
vidalia,20
pecans,131
whiskey,16
leeks,28
apricot,10
msg,16
bourbon,7
feta,4
blanched,1
tortellini,24
strawberries,57
chestnuts,48
velveeta,25
fettuccine,7
grapes,73
fajita,12
petals,7
chervil,2
part,13
bits,36
shreds,1
drippings,22
color,6
peppadew,1
herbs,15
membranes,8
mexican,16
ends,3
coating,1
tartar,8
clams,62
gills,3
prosciutto,20
ritz,12
winter,2
blossom,1
yellow,1
bunches,2
mango,79
fresco,7
mangoes,11
rub,5
silks,2
caramels,2
crisp,2
handles,1
smith,4
oats,44
whip,28
oranges,41
o,8
creamer,1
knox,1
segments,11
innovasian,1
vinaigrette,22
orange,28
crosswise,22
rum,15
butterworth,1
banana,30
king,2
pam,4
diagonals,1
kahlua,2
blackberries,8
shortcakes,1
almondmilk,4
whidbey,1
brandy,8
ice,10
peaches,14
schnapps,3
seltzer,1
croissants,1
arugula,15
pod,6
slivers,6
cherries,33
moist,1
dusting,1
supreme,2
moisture,2
roma,4
cookies,6
dice,33
bass,5
peach,6
cantaloupe,8
melon,10
baller,1
honeydew,1
tequila,5
yams,19
yam,10
tenders,8
silk,4
frankfurters,1
harina,4
cob,18
tapatio,5
enhancer,1
hocks,8
chile,25
strings,4
leg,3
crusts,25
peper,1
radishes,52
montreal,1
roots,4
flowers,2
parts,46
glaze,1
oysters,20
lemons,43
cherry,3
anise,8
pectin,8
ale,7
venison,4
clove,11
gingersnaps,1
oelek,19
pear,10
bam,1
daechu,1
gochugaru,5
cola,1
kiwi,6
mignon,4
cut,5
coffee,7
perrins,2
progresso,4
portion,2
apricots,12
applesauce,28
amber,1
morton,1
ancho,14
spareribs,9
fiesta,1
whisky,1
planks,2
salmon,63
seaweed,12
tuna,62
sodium,7
creamy,3
pickle,12
prawns,6
sake,18
reggiano,4
seafood,5
parsnip,7
cube,15
clusters,2
product,3
claws,1
cans,1
